Player Name,PREVIOUS POINTS,FINAL POINTS,Tia Previous,Tia All,Tia Total,Cerb Previous,Cerb All,Cerb Total,Khim Previous,Khim All,Khim Total
Aaliyah,20.92,20.92,0,0,20.92,,,,,,
Adziee,89.5,89.5,0,0,89.5,,,,,,
Afk,163.5,163.5,100,100,213.5,,,,,,
Andy,225,225,11,11,230.5,,,,,,
Aneyus,119.25,119.25,0,0,119.25,,,,,,
Arch,232.75,232.75,0,0,232.75,,,,,,
Archend,32.75,32.75,17,17,41.25,,,,,,
Arxief,356.65,356.65,140,140,426.65,,,,,,
Aspidochelone,123.75,123.75,2,2,124.75,,,,,,
Asri,137,137,69,69,171.5,,,,,,
Basket,6.75,6.75,0,0,6.75,,,,,,
Beast,94.68,94.68,0,0,94.68,,,,,,
Beasty,184.8,184.8,6,6,187.8,,,,,,
Blankets,176.5,176.5,37,37,195,,,,,,
Brandan,4.75,4.75,0,0,4.75,,,,,,
Brisket,10.75,10.75,8,8,14.75,,,,,,
Brisky,224.25,224.25,11,11,229.75,,,,,,
Cajonreaux,258.75,258.75,44,44,280.75,,,,,,
Camantha,201.25,201.25,149,149,275.75,,,,,,
Catgrilluwu,43.5,43.5,4,4,45.5,,,,,,
Chakra,57,57,14,14,64,,,,,,
Chonk,84.25,84.25,44,44,106.25,,,,,,
Chuchu,114.25,114.25,,,114.25,,,,,,
Claude,292,292,110,110,347,,,,,,
Consumelivebees,66,66,13,13,72.5,,,,,,
Coraic,56.5,56.5,17,17,65,,,,,,
Crackadopolis,336.02,336.02,135,135,403.52,,,,,,
Cups,146.25,146.25,72,72,182.25,,,,,,
Dios,171.44,171.44,53,53,197.94,,,,,,
Disphokingguy,7,7,0,0,7,,,,,,
Dogs,347,347,188,188,441,,,,,,
Dualhazard,139.5,139.5,36,36,157.5,,,,,,
Emericsage,4.75,4.75,,,4.75,,,,,,
Fall,30.75,30.75,,,30.75,,,,,,
Falsehope,55.75,55.75,,,55.75,,,,,,
Falsesuspect,355,355,147,147,428.5,,,,,,
Feyori,44.25,44.25,21,21,54.75,,,,,,
Filsy,31,31,35,35,48.5,,,,,,
Fishfood,15.25,15.25,,,15.25,,,,,,
Gorak,74,74,,,74,,,,,,
Grimwald,174,174,80,80,214,,,,,,
Guatalupe,144.25,144.25,27,27,157.75,,,,,,
Hahe,54.25,54.25,9,9,58.75,,,,,,
Isabelli,19.5,19.5,,,19.5,,,,,,
Izual,128.63,128.63,18,18,137.63,,,,,,
Junip,13.25,13.25,,,13.25,,,,,,
Kacey,230.25,230.25,82,82,271.25,,,,,,
Kaiten,260.5,260.5,41,41,281,,,,,,
Kanryu,140.25,140.25,12,12,146.25,,,,,,
Karasunosu,178.69,178.69,3,3,180.19,,,,,,
Kharlyn,78.85,78.85,45,45,101.35,,,,,,
Kretion,46.5,46.5,,,46.5,,,,,,
Ladynayru,84.75,84.75,37,37,103.25,,,,,,
Lilfro,26.75,26.75,,,26.75,,,,,,
Lolwtfbbq,32,32,10,10,37,,,,,,
Lothar,400.5,400.5,62,62,431.5,,,,,,
Loxley,94.75,94.75,16,16,102.75,,,,,,
Lune,48.25,48.25,3,3,49.75,,,,,,
Luxxord,4,4,,,4,,,,,,
Martinii,106,106,18,18,115,,,,,,
Matsujin,76.5,76.5,43,43,98,,,,,,
Maxwell,27.5,27.5,213,213,134,,,,,,
Menace,33.75,33.75,,,33.75,,,,,,
Migisi,82.97,82.97,3,3,84.47,,,,,,
Mimiru,113,113,10,10,118,,,,,,
Moomba,145.65,145.65,,,145.65,,,,,,
Myrhn,83.75,83.75,26,26,96.75,,,,,,
Nageki,25.75,25.75,3,3,27.25,,,,,,
Naoto,143.75,143.75,4,4,145.75,,,,,,
Nar,427.05,427.05,198,198,526.05,,,,,,
Naten,187.23,187.23,91,91,232.73,,,,,,
Neato,199.91,199.91,23,23,211.41,,,,,,
Neliya,72.25,72.25,40,40,92.25,,,,,,
Nicolesixtynine,91.25,91.25,39,39,110.75,,,,,,
Noob,28.87,28.87,3,3,30.37,,,,,,
Novadragon,328.25,328.25,188,188,422.25,,,,,,
Nyght,136.75,136.75,,,136.75,,,,,,
Nysoph,121.77,121.77,72,72,157.77,,,,,,
Oneadseven,196,196,101,101,246.5,,,,,,
Ordinai,93.5,93.5,31,31,109,,,,,,
Oron,62.25,62.25,,,62.25,,,,,,
Oxxo,217.3,217.3,111,111,272.8,,,,,,
Paps,72.75,72.75,10,10,77.75,,,,,,
Paradox,72.45,72.45,21,21,82.95,,,,,,
Pathead,40.5,40.5,21,21,51,,,,,,
PhoenixPiras,2.75,2.75,,,2.75,,,,,,
Pope,4.75,4.75,0,0,4.75,,,,,,
Powercow,163.75,163.75,26,26,176.75,,,,,,
Psyborg,3,3,,,3,,,,,,
